Date,Year,AvgTemp,Radiation
20000101,2000,597.63,77.47
20000102,2000,930.38,477.04
20000103,2000,705.53,573.38
20000104,2000,589.77,749.28
20000105,2000,347.31,923.24
20000106,2000,791.79,437.62
20000107,2000,375.17,627.81
20000108,2000,1283.55,60.07
20000109,2000,1427.33,475.31
20000110,2000,266.88,870.01
20000111,2000,1083.45,592.28
20000112,2000,557.79,375.10
20000113,2000,636.09,89.25
20000114,2000,1351.19,498.59
20000115,2000,-357.93,918.70
20000116,2000,-325.74,73.89
20000117,2000,-459.56,530.87
20000118,2000,1165.24,426.32
20000119,2000,1056.31,759.46
20000120,2000,1240.02,151.15
20000121,2000,1457.24,171.20
20000122,2000,1098.32,716.00
20000123,2000,422.96,679.96
20000124,2000,1061.06,517.68
20000125,2000,-263.45,4.56
20000126,2000,779.84,855.66
20000127,2000,-213.29,987.40
20000128,2000,1389.34,667.44
20000129,2000,543.70,933.23
20000130,2000,329.32,757.81
20000131,2000,29.11,684.16
20000201,2000,1048.47,351.26
20000202,2000,412.30,79.66
20000203,2000,636.87,32.17
20000204,2000,-462.42,450.56
20000205,2000,735.27,459.54
20000206,2000,724.19,386.19
20000207,2000,733.87,29.92
20000208,2000,1387.50,199.35
20000209,2000,863.64,136.51
20000210,2000,219.02,12.74
20000211,2000,374.06,619.13
20000212,2000,895.26,98.95
20000213,2000,-379.55,148.39
20000214,2000,833.53,99.11
20000215,2000,841.28,764.67
20000216,2000,-79.23,883.38
20000217,2000,-242.15,118.79
20000218,2000,130.86,615.66
20000219,2000,227.42,619.69
20000220,2000,640.39,281.33
20000221,2000,377.20,588.51
20000222,2000,1476.75,433.28
20000223,2000,-295.91,107.65
20000224,2000,-82.25,958.25
20000225,2000,-177.38,678.64
20000226,2000,806.22,953.96
20000227,2000,6.58,151.02
20000228,2000,432.62,794.15
20000229,2000,-11.15,420.63
20000301,2000,-182.06,929.69
20000302,2000,-279.25,686.99
20000303,2000,812.66,147.17
20000304,2000,-223.63,32.47
20000305,2000,-106.84,125.62
20000306,2000,237.45,712.69
20000307,2000,1141.99,10.54
20000308,2000,-305.80,478.26
20000309,2000,1175.89,553.05
20000310,2000,-307.80,812.27
20000311,2000,1452.92,446.59
20000312,2000,437.30,5.49
20000313,2000,1453.52,218.78
20000314,2000,709.69,47.55
20000315,2000,978.53,980.95
20000316,2000,-421.62,638.42
20000317,2000,65.61,1.92
20000318,2000,-259.61,38.53
20000319,2000,92.28,225.52
20000320,2000,-262.54,778.86
20000321,2000,135.97,399.02
20000322,2000,328.53,505.36
20000323,2000,-371.71,872.51
20000324,2000,884.94,891.24
20000325,2000,633.20,427.84
20000326,2000,30.78,760.16
20000327,2000,546.50,234.18
20000328,2000,-312.12,175.19
20000329,2000,651.89,976.29
20000330,2000,1358.59,638.20
20000331,2000,137.14,657.29
20000401,2000,834.82,877.84
20000402,2000,-236.40,27.03
20000403,2000,932.65,285.89
20000404,2000,78.81,719.17
20000405,2000,-133.62,454.62
20000406,2000,673.03,942.87
20000407,2000,-459.78,450.57
20000408,2000,1157.88,127.03
20000409,2000,-490.61,907.30
20000410,2000,855.63,5.12
20000411,2000,40.02,758.76
20000412,2000,970.39,8.34
20000413,2000,1424.38,463.22
20000414,2000,-2.49,205.55
20000415,2000,652.31,951.66
20000416,2000,684.08,396.74
20000417,2000,644.50,30.95
20000418,2000,-53.84,776.79
20000419,2000,1405.50,316.58
20000420,2000,394.25,639.46
20000421,2000,1192.82,405.23
20000422,2000,898.96,438.51
20000423,2000,94.87,263.80
20000424,2000,1127.60,788.33
20000425,2000,293.01,463.72
20000426,2000,1262.21,39.62
20000427,2000,662.55,944.77
20000428,2000,1263.47,496.92
20000429,2000,885.06,485.97
20000430,2000,950.51,346.45
20000501,2000,502.65,635.15
20000502,2000,1412.17,401.54
20000503,2000,787.98,749.48
20000504,2000,347.71,876.58
20000505,2000,712.79,489.73
20000506,2000,-461.61,652.55
20000507,2000,103.15,295.54
20000508,2000,820.35,625.40
20000509,2000,80.16,635.24
20000510,2000,736.03,511.97
20000511,2000,357.54,159.85
20000512,2000,-229.05,725.31
20000513,2000,96.56,319.66
20000514,2000,639.93,388.21
20000515,2000,681.75,851.54
20000516,2000,648.65,681.13
20000517,2000,806.40,82.67
20000518,2000,804.21,565.38
20000519,2000,362.84,86.92
20000520,2000,1293.09,645.46
20000521,2000,235.12,394.65
20000522,2000,371.73,813.00
20000523,2000,1283.85,780.18
20000524,2000,1112.39,999.71
20000525,2000,907.78,299.17
20000526,2000,-299.55,175.08
20000527,2000,1338.97,185.32
20000528,2000,928.48,598.92
20000529,2000,1497.69,334.54
20000530,2000,-201.10,906.85
20000531,2000,1236.25,79.36
20000601,2000,-175.01,764.82
20000602,2000,731.12,489.71
20000603,2000,-252.36,637.43
20000604,2000,1196.02,587.82
20000605,2000,1114.64,530.26
20000606,2000,638.20,698.35
20000607,2000,314.37,545.71
20000608,2000,-361.67,922.47
20000609,2000,894.86,551.68
20000610,2000,407.09,919.67
20000611,2000,944.11,806.34
20000612,2000,1232.76,847.55
20000613,2000,1451.04,897.29
20000614,2000,1211.61,202.56
20000615,2000,-476.57,342.55
20000616,2000,219.96,899.37
20000617,2000,959.98,149.21
20000618,2000,-156.74,490.14
20000619,2000,542.07,104.75
20000620,2000,-391.32,152.55
20000621,2000,-100.01,588.89
20000622,2000,-462.96,396.10
20000623,2000,1087.40,423.69
20000624,2000,-52.15,508.13
20000625,2000,190.70,660.73
20000626,2000,1356.16,499.33
20000627,2000,908.83,341.77
20000628,2000,-436.32,192.81
20000629,2000,-170.61,464.47
20000630,2000,742.96,375.55
20000701,2000,654.46,815.45
20000702,2000,-24.21,15.30
20000703,2000,1368.43,570.40
20000704,2000,727.93,618.46
20000705,2000,571.27,987.90
20000706,2000,679.82,885.36
20000707,2000,960.24,517.57
20000708,2000,123.89,288.52
20000709,2000,296.44,10.18
20000710,2000,-80.31,240.78
20000711,2000,-127.61,847.44
20000712,2000,1388.74,973.26
20000713,2000,979.10,701.05
20000714,2000,480.92,603.85
20000715,2000,-45.17,606.23
20000716,2000,8.71,649.91
20000717,2000,-383.94,1.79
20000718,2000,368.83,369.96
20000719,2000,123.59,329.28
20000720,2000,892.69,977.93
20000721,2000,255.50,0.73
20000722,2000,-140.79,736.34
20000723,2000,-450.64,405.29
20000724,2000,-365.50,64.76
20000725,2000,858.79,360.95
20000726,2000,407.39,127.85
20000727,2000,573.16,37.36
20000728,2000,1293.34,683.45
20000729,2000,1480.68,24.68
20000730,2000,-66.21,11.96
20000731,2000,826.16,425.98
20000801,2000,26.64,130.57
20000802,2000,-458.70,446.13
20000803,2000,1016.76,366.03
20000804,2000,140.03,102.28
20000805,2000,266.93,639.71
20000806,2000,676.63,649.72
20000807,2000,1162.10,644.68
20000808,2000,757.96,864.63
20000809,2000,1245.30,6.77
20000810,2000,47.08,27.74
20000811,2000,1096.09,523.17
20000812,2000,-128.73,466.02
20000813,2000,1405.58,990.57
20000814,2000,874.98,357.54
20000815,2000,-68.98,389.10
20000816,2000,1394.74,835.71
20000817,2000,961.71,623.09
20000818,2000,7.88,71.08
20000819,2000,-73.38,57.66
20000820,2000,536.40,528.55
20000821,2000,-448.67,396.77
20000822,2000,-85.06,735.43
20000823,2000,349.37,628.06
20000824,2000,248.34,0.31
20000825,2000,427.15,16.88
20000826,2000,55.26,839.71
20000827,2000,673.57,164.59
20000828,2000,1227.71,569.60
20000829,2000,-264.94,940.50
20000830,2000,534.76,966.61
20000831,2000,-235.86,844.25
20000901,2000,933.72,888.92
20000902,2000,292.12,905.06
20000903,2000,630.84,76.56
20000904,2000,-133.44,857.24
20000905,2000,-210.30,415.73
20000906,2000,476.11,42.67
20000907,2000,211.23,533.17
20000908,2000,1380.86,116.70
20000909,2000,1030.65,79.11
20000910,2000,997.33,467.58
20000911,2000,1307.44,314.77
20000912,2000,-333.16,881.32
20000913,2000,604.38,315.59
20000914,2000,668.95,822.58
20000915,2000,1423.87,4.89
20000916,2000,84.30,949.21
20000917,2000,-18.34,54.33
20000918,2000,-299.41,262.88
20000919,2000,-467.14,24.89
20000920,2000,1359.06,959.35
20000921,2000,839.83,51.69
20000922,2000,1070.31,349.00
20000923,2000,63.46,663.84
20000924,2000,672.82,322.02
20000925,2000,-372.09,7.49
20000926,2000,471.26,240.57
20000927,2000,1454.99,714.69
20000928,2000,1253.01,378.28
20000929,2000,176.32,820.29
20000930,2000,1423.14,738.98
20001001,2000,-36.60,585.99
20001002,2000,1398.64,94.48
20001003,2000,1382.76,982.00
20001004,2000,1098.41,520.67
20001005,2000,760.90,260.18
20001006,2000,1248.58,602.13
20001007,2000,86.04,706.78
20001008,2000,1197.89,467.50
20001009,2000,735.75,641.83
20001010,2000,-473.53,108.04
20001011,2000,194.47,874.07
20001012,2000,-203.72,680.73
20001013,2000,1463.66,772.99
20001014,2000,456.74,113.74
20001015,2000,494.78,519.30
20001016,2000,778.95,692.59
20001017,2000,237.17,522.28
20001018,2000,-226.20,99.21
20001019,2000,1144.24,60.66
20001020,2000,-120.30,616.02
20001021,2000,522.64,796.89
20001022,2000,-51.37,996.63
20001023,2000,-304.31,568.22
20001024,2000,1224.38,229.50
20001025,2000,1445.84,405.08
20001026,2000,1421.67,106.64
20001027,2000,1313.11,413.87
20001028,2000,1048.09,840.17
20001029,2000,166.29,390.20
20001030,2000,-337.80,51.73
20001031,2000,314.48,165.91
20001101,2000,-35.53,669.68
20001102,2000,-235.02,691.23
20001103,2000,-393.15,198.04
20001104,2000,951.19,810.14
20001105,2000,-477.15,280.86
20001106,2000,1041.16,555.72
20001107,2000,-206.11,307.71
20001108,2000,-340.96,693.12
20001109,2000,-320.79,375.68
20001110,2000,844.10,761.81
20001111,2000,-9.27,483.43
20001112,2000,341.08,640.27
20001113,2000,614.74,926.05
20001114,2000,1221.10,435.34
20001115,2000,954.09,550.64
20001116,2000,40.66,189.12
20001117,2000,-237.03,693.43
20001118,2000,-389.25,212.71
20001119,2000,103.20,689.96
20001120,2000,24.24,923.18
20001121,2000,412.28,941.30
20001122,2000,866.56,801.83
20001123,2000,891.25,539.14
20001124,2000,67.04,837.22
20001125,2000,259.85,457.76
20001126,2000,-137.70,376.92
20001127,2000,1077.09,702.34
20001128,2000,-386.30,207.32
20001129,2000,893.99,74.28
20001130,2000,1057.39,366.03
20001201,2000,1054.82,340.64
20001202,2000,18.85,120.52
20001203,2000,247.63,854.56
20001204,2000,675.20,668.15
20001205,2000,45.64,25.79
20001206,2000,241.71,540.16
20001207,2000,-105.89,153.80
20001208,2000,419.71,511.22
20001209,2000,-410.78,771.25
20001210,2000,1099.59,413.05
20001211,2000,-346.09,596.86
20001212,2000,537.67,546.44
20001213,2000,113.62,577.61
20001214,2000,655.09,478.12
20001215,2000,1418.87,167.03
20001216,2000,791.14,241.61
20001217,2000,-429.28,894.05
20001218,2000,360.80,738.21
