Date,Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,AvgTemp,AvgWS,AvgPres
20200101,0.76,0.98,0.97,0.96,0.76,0.97,0.39,0.78,0.84,0.71,251.85,13.76,1015.07
20200102,0.02,0.90,0.87,0.59,0.99,0.93,0.92,0.78,0.21,0.58,343.35,21.73,1006.35
20200103,0.97,0.46,0.56,0.97,0.53,0.92,0.57,0.07,0.87,0.25,281.52,11.97,1005.54
20200104,0.62,0.82,0.10,0.96,0.47,0.01,0.71,0.34,0.87,0.01,249.69,27.12,998.26
20200105,0.55,0.77,0.48,0.65,0.01,0.59,0.89,0.48,0.25,0.12,183.01,20.70,1014.72
20200106,0.30,0.68,0.31,0.51,0.70,0.26,0.44,0.95,0.51,0.32,305.24,20.99,1027.72
20200107,0.93,0.32,0.51,0.47,0.86,0.56,0.00,0.90,0.93,0.20,190.67,9.83,999.41
20200108,0.27,0.20,0.30,0.89,0.25,0.32,0.29,0.42,0.68,0.57,440.48,22.70,1016.71
20200109,0.83,0.67,0.86,0.03,0.32,0.15,0.81,0.10,0.66,0.53,480.01,19.08,988.22
20200110,0.99,0.84,0.84,0.11,0.50,0.44,0.90,0.40,0.56,0.39,160.89,7.20,991.19
20200111,0.78,0.02,0.32,0.10,0.07,0.50,0.35,0.54,0.27,0.80,385.45,4.82,983.28
20200112,0.52,0.64,0.60,0.76,0.09,0.99,0.29,0.90,0.98,0.73,240.89,23.89,1047.95
20200113,0.07,0.44,0.43,0.34,0.42,0.04,0.92,0.29,0.45,0.69,262.42,28.77,980.27
20200114,0.47,0.90,0.91,0.64,0.26,0.30,0.35,0.31,0.31,0.50,459.08,13.74,992.50
20200115,0.44,0.32,0.19,0.60,0.41,0.85,0.65,0.63,0.73,0.04,-10.93,17.73,1022.90
20200116,0.20,0.47,0.70,0.39,0.45,0.66,0.28,0.51,0.61,0.43,-2.08,25.73,985.70
20200117,0.42,0.51,0.97,0.53,0.98,0.83,0.10,0.20,0.34,0.50,-38.88,13.72,1041.73
20200118,0.36,0.14,0.18,0.65,0.94,0.66,0.50,0.14,0.30,0.45,407.94,28.56,1030.37
20200119,0.16,0.71,0.20,0.94,0.14,0.76,0.92,0.49,0.21,0.00,377.99,17.27,1047.65
20200120,0.44,0.83,0.69,0.58,0.88,0.49,0.62,0.78,0.08,0.65,428.51,24.62,1015.53
20200121,0.26,0.06,0.78,0.61,0.08,0.20,0.21,0.78,0.63,0.26,488.24,27.27,1001.03
20200122,0.52,0.29,0.49,0.07,0.51,0.81,0.68,0.98,0.51,0.04,389.54,24.47,1018.47
20200123,0.04,0.04,0.61,0.95,0.16,0.57,0.77,0.38,0.23,0.50,203.81,4.78,1045.16
20200124,0.91,0.96,0.21,0.53,0.37,0.14,0.32,0.39,0.06,0.92,379.29,18.87,1016.45
20200125,0.82,0.67,0.48,0.80,0.74,0.80,0.56,0.00,0.02,0.03,15.05,11.95,998.70
20200126,0.55,0.96,0.11,0.05,0.42,0.96,0.68,0.83,0.74,0.01,301.96,1.88,1041.42
20200127,0.85,0.53,0.32,0.42,0.81,0.35,0.16,0.65,0.19,0.59,28.84,12.72,1006.03
20200128,0.96,0.80,0.28,0.26,0.72,0.29,0.96,0.77,0.27,0.54,469.57,7.76,980.10
20200129,0.11,0.37,0.44,0.27,0.94,0.08,0.45,0.47,0.01,0.02,237.02,25.47,997.34
20200130,0.63,0.35,0.93,0.79,0.53,0.66,0.98,0.92,0.15,0.10,178.06,1.00,1002.28
