Date,Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,AvgTemp
20200101,0.46,0.50,0.76,0.98,0.97,0.96,0.76,0.97,0.39,0.78,251.85
20200102,0.72,0.38,0.02,0.90,0.87,0.59,0.99,0.93,0.92,0.78,343.35
20200103,0.40,0.36,0.97,0.46,0.56,0.97,0.53,0.92,0.57,0.07,281.52
20200104,0.90,0.26,0.62,0.82,0.10,0.96,0.47,0.01,0.71,0.34,249.69
20200105,0.69,0.50,0.55,0.77,0.48,0.65,0.01,0.59,0.89,0.48,183.01
20200106,0.70,0.68,0.30,0.68,0.31,0.51,0.70,0.26,0.44,0.95,305.24
20200107,0.33,0.28,0.93,0.32,0.51,0.47,0.86,0.56,0.00,0.90,190.67
20200108,0.76,0.52,0.27,0.20,0.30,0.89,0.25,0.32,0.29,0.42,440.48
20200109,0.64,0.12,0.83,0.67,0.86,0.03,0.32,0.15,0.81,0.10,480.01
20200110,0.24,0.16,0.99,0.84,0.84,0.11,0.50,0.44,0.90,0.40,160.89
20200111,0.16,0.05,0.78,0.02,0.32,0.10,0.07,0.50,0.35,0.54,385.45
20200112,0.80,0.97,0.52,0.64,0.60,0.76,0.09,0.99,0.29,0.90,240.89
20200113,0.96,0.00,0.07,0.44,0.43,0.34,0.42,0.04,0.92,0.29,262.42
20200114,0.46,0.18,0.47,0.90,0.91,0.64,0.26,0.30,0.35,0.31,459.08
20200115,0.59,0.61,0.44,0.32,0.19,0.60,0.41,0.85,0.65,0.63,-10.93
20200116,0.86,0.08,0.20,0.47,0.70,0.39,0.45,0.66,0.28,0.51,-2.08
20200117,0.46,0.88,0.42,0.51,0.97,0.53,0.98,0.83,0.10,0.20,-38.88
20200118,0.95,0.72,0.36,0.14,0.18,0.65,0.94,0.66,0.50,0.14,407.94
20200119,0.58,0.97,0.16,0.71,0.20,0.94,0.14,0.76,0.92,0.49,377.99
20200120,0.82,0.51,0.44,0.83,0.69,0.58,0.88,0.49,0.62,0.78,428.51
20200121,0.91,0.30,0.26,0.06,0.78,0.61,0.08,0.20,0.21,0.78,488.24
20200122,0.82,0.55,0.52,0.29,0.49,0.07,0.51,0.81,0.68,0.98,389.54
20200123,0.16,0.93,0.04,0.04,0.61,0.95,0.16,0.57,0.77,0.38,203.81
20200124,0.63,0.52,0.91,0.96,0.21,0.53,0.37,0.14,0.32,0.39,379.29
20200125,0.40,0.27,0.82,0.67,0.48,0.80,0.74,0.80,0.56,0.00,15.05
